# file...... Result_no_control/Transformer_output_power.csv
# date...... Sat Apr  2 20:17:36 2016
# user...... chepeadan
# host...... (null)
# target.... transformer 1031
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-01-01 00:01:00 EST,+2901.96,+953.518,+1177.95,+386.95,+931.596,+306.221,+792.412,+260.346
2000-01-01 00:02:00 EST,+2908.96,+955.82,+1154.91,+379.399,+931.594,+306.203,+822.457,+270.217
2000-01-01 00:03:00 EST,+3256.67,+1069.99,+1442.67,+473.864,+931.499,+306.304,+882.504,+289.818
2000-01-01 00:04:00 EST,+3660.41,+1202.56,+1596.9,+524.383,+1141.01,+375.152,+922.502,+303.027
2000-01-01 00:05:00 EST,+4063.03,+1334.81,+1596.74,+524.397,+1301.4,+427.718,+1164.89,+382.698
2000-01-01 00:06:00 EST,+4161.37,+1367.07,+1715.18,+563.127,+1341.5,+441.029,+1104.68,+362.916
2000-01-01 00:07:00 EST,+4303.87,+1413.82,+1857.8,+609.854,+1341.43,+441.145,+1104.63,+362.823
2000-01-01 00:08:00 EST,+4512.61,+1482.3,+2053.66,+674.01,+1354.39,+445.567,+1104.56,+362.72
2000-01-01 00:09:00 EST,+4665.22,+1532.34,+2206.37,+724.032,+1354.33,+445.669,+1104.51,+362.638
2000-01-01 00:10:00 EST,+6966.42,+2283.9,+4412.36,+1443.56,+1353.2,+447.414,+1200.85,+392.927
2000-01-01 00:11:00 EST,+4766.1,+1565.58,+1797.59,+590.063,+1625.43,+534.221,+1343.08,+441.294
2000-01-01 00:12:00 EST,+4961.64,+1629.75,+1993.27,+654.213,+1625.35,+534.352,+1343.02,+441.185
2000-01-01 00:13:00 EST,+4901.54,+1610,+1993.3,+654.149,+1625.39,+534.412,+1282.85,+421.443
2000-01-01 00:14:00 EST,+5026.99,+1651.16,+2058.57,+675.472,+1685.62,+554.245,+1282.8,+421.444
2000-01-01 00:15:00 EST,+4966.76,+1631.41,+1998.29,+655.731,+1685.65,+554.194,+1282.82,+421.482
2000-01-01 00:16:00 EST,+5043.03,+1656.42,+2114.72,+693.846,+1685.63,+554.305,+1242.69,+408.265
2000-01-01 00:17:00 EST,+7148.07,+2346.33,+4180.87,+1370.64,+1624.76,+535.421,+1342.45,+440.276
2000-01-01 00:18:00 EST,+7148.07,+2346.33,+4180.87,+1370.64,+1624.76,+535.421,+1342.45,+440.276
2000-01-01 00:19:00 EST,+7082.62,+2324.91,+4115.36,+1349.23,+1624.79,+535.368,+1342.47,+440.319
2000-01-01 00:20:00 EST,+4997.69,+1641.58,+2049.41,+672.599,+1625.36,+534.404,+1322.92,+434.577
2000-01-01 00:21:00 EST,+4997.69,+1641.58,+2049.41,+672.599,+1625.36,+534.404,+1322.92,+434.577
